c_avg_deg_cons,c_avg_dom_cons,c_avg_domdeg_cons,c_bounds_d,c_bounds_r,c_bounds_z,c_cv_deg_cons,c_cv_dom_cons,c_cv_domdeg_cons,c_domain,c_ent_deg_cons,c_ent_dom_cons,c_ent_domdeg_cons,c_logprod_deg_cons,c_logprod_dom_cons,c_max_deg_cons,c_max_dom_cons,c_max_domdeg_cons,c_min_deg_cons,c_min_dom_cons,c_min_domdeg_cons,c_num_cons,c_priority,c_ratio_cons,c_sum_ari_cons,c_sum_dom_cons,c_sum_domdeg_cons,d_array_cons,d_bool_cons,d_bool_vars,d_float_cons,d_float_vars,d_int_cons,d_int_vars,d_ratio_array_cons,d_ratio_bool_cons,d_ratio_bool_vars,d_ratio_float_cons,d_ratio_float_vars,d_ratio_int_cons,d_ratio_int_vars,d_ratio_set_cons,d_ratio_set_vars,d_set_cons,d_set_vars,gc_diff_globs,gc_global_cons,gc_ratio_diff,gc_ratio_globs,o_deg,o_deg_avg,o_deg_cons,o_deg_std,o_dom,o_dom_avg,o_dom_deg,o_dom_std,s_bool_search,s_first_fail,s_goal,s_indomain_max,s_indomain_min,s_input_order,s_int_search,s_labeled_vars,s_other_val,s_other_var,s_set_search,v_avg_deg_vars,v_avg_dom_vars,v_avg_domdeg_vars,v_cv_deg_vars,v_cv_dom_vars,v_cv_domdeg_vars,v_def_vars,v_ent_deg_vars,v_ent_dom_vars,v_ent_domdeg_vars,v_intro_vars,v_logprod_deg_vars,v_logprod_dom_vars,v_max_deg_vars,v_max_dom_vars,v_max_domdeg_vars,v_min_deg_vars,v_min_dom_vars,v_min_domdeg_vars,v_num_aliases,v_num_consts,v_num_vars,v_ratio_bounded,v_ratio_vars,v_sum_deg_vars,v_sum_dom_vars,"v_sum_domdeg_vars

",number_of_teams,fixtures_left,number_of_constraints,runtime,fpoints
2.62112,3.92253,1.46981,0,0,0,0.467636,0.568177,0.319649,0,1.27627,2.91752,1.29083,207.507,285.761,7,15.2467,2.58496,2,2,1,161,0,1.03871,449,631.528,236.639,0,0,62,0,0,98,93,0,0,0.4,0,0,0.608696,0.6,0,0,0,0,0,0,-nan,0,0,0,0,-0.809556,1,0.3875,inf,-1.18081,0,0,2,0,0,0,0,0,0,0,0,2.72258,2.58065,1.13072,1.23525,0.518712,0.454777,142,0.885689,1.08607,0.907166,124,181.321,192.168,21,7,3,0,1,0.190476,11,25,155,0.232258,0.962733,422,400,"175.262
",6,1,2,0.03,11
2.51613,3.79179,1.48417,0,0,0,0.452257,0.555241,0.326593,0,1.19408,3.13233,1.2605,191.862,268.71,7,12.6618,2.58496,2,2,1,155,0,1.0473,431,587.727,230.046,0,0,60,0,0,94,88,0,0,0.405405,0,0,0.606452,0.594595,0,0,0,0,0,0,-nan,0,21,7.96923,0.135484,5.94085,7,2.71916,0.333333,3.30005,0,0,2,0,0,0,0,0,0,0,0,2.63514,2.57432,1.14672,1.1731,0.520949,0.457354,137,0.857042,1.02411,0.828666,120,170.589,183.391,21,7,3,0,2,0.190476,9,27,148,0.243243,0.954839,390,381,"169.714
",6,1,2,0.02,12
2.62112,3.92253,1.46981,0,0,0,0.467636,0.568177,0.319649,0,1.27627,2.91752,1.29083,207.507,285.761,7,15.2467,2.58496,2,2,1,161,0,1.04545,449,631.528,236.639,0,0,62,0,0,98,92,0,0,0.402597,0,0,0.608696,0.597403,0,0,0,0,0,0,-nan,0,21,7.66351,0.130435,5.42352,4,1.54386,0.190476,1.05403,0,0,2,0,0,0,0,0,0,0,0,2.74026,2.59091,1.13806,1.22863,0.51598,0.446135,142,0.834855,1.03654,0.856472,124,181.321,192.168,21,7,3,0,2,0.190476,11,25,154,0.233766,0.956522,422,399,"175.262
",6,1,2,0.03,14
2.52229,3.84227,1.49945,0,0,0,0.464138,0.576105,0.331435,0,1.18135,3.14722,1.29496,194.347,274.142,7,15.2467,2.58496,2,2,1,157,0,1.03974,437,603.237,235.413,0,0,60,0,0,96,91,0,0,0.397351,0,0,0.611465,0.602649,0,0,0,0,0,0,-nan,0,0,0,0,-0.854744,1,0.383249,inf,-1.15735,0,0,2,0,0,0,0,0,0,0,0,2.62252,2.60927,1.15043,1.16994,0.532898,0.466427,138,0.944099,1.10388,0.919485,120,173.759,188.561,21,7,3,0,1,0.190476,10,26,151,0.238411,0.961783,396,394,"173.714
",6,1,2,0.03,19
2.52229,3.81701,1.48963,0,0,0,0.464138,0.568252,0.324575,0,1.18135,3.11212,1.27746,194.347,273.105,7,13.9248,2.58496,2,2,1,157,0,1.04667,437,599.271,233.871,0,0,60,0,0,96,90,0,0,0.4,0,0,0.611465,0.6,0,0,0,0,0,0,-nan,0,21,7.95455,0.133758,5.97871,7,2.69231,0.333333,3.19771,0,0,2,0,0,0,0,0,0,0,0,2.64,2.6,1.15143,1.16322,0.529225,0.460222,138,0.89255,0.99769,0.844707,120,173.759,187.239,21,7,3,0,2,0.190476,10,26,150,0.24,0.955414,396,390,"172.714
",6,1,2,0.03,12
2.52229,3.84227,1.49945,0,0,0,0.464138,0.576105,0.331435,0,1.18135,3.14722,1.29496,194.347,274.142,7,15.2467,2.58496,2,2,1,157,0,1.04667,437,603.237,235.413,0,0,60,0,0,96,90,0,0,0.4,0,0,0.611465,0.6,0,0,0,0,0,0,-nan,0,21,7.95455,0.133758,5.97871,7,2.67176,0.333333,3.15366,0,0,2,0,0,0,0,0,0,0,0,2.64,2.62,1.1581,1.16322,0.530099,0.457702,138,0.89255,1.05339,0.867773,120,173.759,188.561,21,7,3,0,2,0.190476,10,26,150,0.24,0.955414,396,393,"173.714
",6,1,2,0.03,12
2.51634,3.74824,1.46968,0,0,0,0.452321,0.54204,0.324064,0,1.2352,3.11237,1.26066,189.499,263.434,7,10.3399,2.58496,2,2,1,153,0,1.03378,425,573.481,224.861,0,0,60,0,0,92,88,0,0,0.405405,0,0,0.601307,0.594595,0,0,0,0,0,0,-nan,0,0,0,0,-0.838792,1,0.397849,inf,-1.17641,0,0,2,0,0,0,0,0,0,0,0,2.60135,2.51351,1.13208,1.19219,0.511855,0.459897,137,0.904646,1.03859,0.860355,120,167.419,179.221,21,7,3,0,1,0.190476,8,28,148,0.243243,0.96732,385,372,"167.548
",6,1,2,0.03,9
2.52258,3.79994,1.48544,0,0,0,0.45996,0.558166,0.329513,0,1.19987,3.12998,1.29649,192.084,268.974,7,12.9248,2.58496,2,2,1,155,0,1.04027,431,588.99,230.243,0,0,60,0,0,94,89,0,0,0.402685,0,0,0.606452,0.597315,0,0,0,0,0,0,-nan,0,21,8.00256,0.135484,5.95885,4,1.55614,0.190476,1.06888,0,0,2,0,0,0,0,0,0,0,0,2.62416,2.57047,1.15133,1.17515,0.520297,0.451641,138,0.890902,1.01926,0.848759,120,170.589,184.391,21,7,3,0,2,0.190476,9,27,149,0.241611,0.96129,391,383,"171.548
",6,1,2,0.02,25
2.51613,3.7662,1.47379,0,0,0,0.454505,0.551214,0.318752,0,1.20409,3.09427,1.24004,191.821,267.591,7,11.3399,2.58496,2,2,1,155,0,1.0473,431,583.762,228.437,0,0,60,0,0,94,88,0,0,0.405405,0,0,0.606452,0.594595,0,0,0,0,0,0,-nan,0,21,7.96923,0.135484,5.94085,7,2.74074,0.333333,3.35069,0,0,2,0,0,0,0,0,0,0,0,2.63514,2.55405,1.13996,1.1731,0.519516,0.459802,137,0.857042,0.967657,0.803424,120,170.589,182.069,21,7,3,0,2,0.190476,9,27,148,0.243243,0.954839,390,378,"168.714
",6,1,2,0.03,14
2.52229,3.84227,1.49945,0,0,0,0.464138,0.576105,0.331435,0,1.18135,3.14722,1.29496,194.347,274.142,7,15.2467,2.58496,2,2,1,157,0,1.03974,437,603.237,235.413,0,0,60,0,0,96,91,0,0,0.397351,0,0,0.611465,0.602649,0,0,0,0,0,0,-nan,0,0,0,0,-0.854744,1,0.383249,inf,-1.15735,0,0,2,0,0,0,0,0,0,0,0,2.62252,2.60927,1.15043,1.16994,0.532898,0.466427,138,0.944099,1.10388,0.919485,120,173.759,188.561,21,7,3,0,1,0.190476,10,26,151,0.238411,0.961783,396,394,"173.714
",6,1,2,0.03,10
2.44286,3.73977,1.51472,0,0,0,0.432867,0.535786,0.331463,0,1.15005,3.3523,1.21177,168.432,241.385,7,10.3399,2.58496,2,2,1,140,0,1.05263,389,523.568,212.061,0,0,53,0,0,86,80,0,0,0.398496,0,0,0.614286,0.601504,0,0,0,0,0,0,-nan,0,21,8.16667,0.15,6.4894,7,2.683,0.333333,3.02806,0,0,2,0,0,0,0,0,0,0,0,2.57143,2.60902,1.16103,1.10437,0.5558,0.491724,122,0.898575,1.03543,0.834562,106,152.612,165.998,21,10,4,0,2,0.190476,8,32,133,0.300752,0.95,342,347,"154.417
",6,1,3,0.03,3
2.44203,3.70632,1.50362,0,0,0,0.435434,0.53379,0.333942,0,1.15058,3.31481,1.21058,166.01,236.429,7,10.1699,2.58496,2,2,1,138,0,1.04545,383,511.473,207.499,0,0,53,0,0,84,79,0,0,0.401515,0,0,0.608696,0.598485,0,0,0,0,0,0,-nan,0,21,8.22552,0.152174,6.46521,7,2.72566,0.333333,3.16763,0,0,2,0,0,0,0,0,0,0,0,2.55303,2.56818,1.16225,1.1176,0.544781,0.492917,122,0.89233,1.03597,0.839193,106,149.442,162.829,21,10,4,0,2,0.190476,7,33,132,0.30303,0.956522,337,339,"153.417
",6,1,3,0.03,15
2.61635,3.83052,1.43701,0,0,0,0.457287,0.539034,0.295522,0,1.30921,2.90325,1.19405,205.022,278.511,7,10.3399,2.58496,2,2,1,159,0,1.04605,443,609.052,228.485,0,0,62,0,0,96,90,0,0,0.407895,0,0,0.603774,0.592105,0,0,0,0,0,0,-nan,0,21,7.67308,0.132075,5.38941,7,2.79265,0.333333,3.62157,0,0,2,0,0,0,0,0,0,0,0,2.73684,2.50658,1.11357,1.23818,0.494993,0.445101,141,0.801741,0.958283,0.766867,124,178.151,184.677,21,7,3,0,2,0.190476,10,26,152,0.236842,0.955975,416,381,"169.262
",6,1,3,0.03,13
2.52258,3.78862,1.48091,0,0,0,0.45996,0.554642,0.324402,0,1.19987,3.17656,1.2408,192.084,268.56,7,12.3399,2.58496,2,2,1,155,0,1.03333,431,587.235,229.541,0,0,60,0,0,94,90,0,0,0.4,0,0,0.606452,0.6,0,0,0,0,0,0,-nan,0,0,0,0,-0.846073,1,0.39267,inf,-1.17665,0,0,2,0,0,0,0,0,0,0,0,2.60667,2.54667,1.13921,1.18193,0.516152,0.458389,138,0.942741,1.08722,0.876937,120,170.589,183.806,21,7,3,0,1,0.190476,9,27,150,0.24,0.967742,391,382,"170.881
",6,1,3,0.03,17
2.61635,3.83052,1.43701,0,0,0,0.457287,0.539034,0.295522,0,1.30921,2.90325,1.19405,205.022,278.511,7,10.3399,2.58496,2,2,1,159,0,1.04605,443,609.052,228.485,0,0,62,0,0,96,90,0,0,0.407895,0,0,0.603774,0.592105,0,0,0,0,0,0,-nan,0,21,7.67308,0.132075,5.38941,4,1.5958,0.190476,1.20366,0,0,2,0,0,0,0,0,0,0,0,2.73684,2.50658,1.11357,1.23818,0.494993,0.445101,141,0.801741,0.958283,0.766867,124,178.151,184.677,21,7,3,0,2,0.190476,10,26,152,0.236842,0.955975,416,381,"169.262
",6,1,3,0.02,19
2.52229,3.79791,1.48219,0,0,0,0.464138,0.562273,0.317424,0,1.18135,3.1581,1.23921,194.347,272.377,7,12.9248,2.58496,2,2,1,157,0,1.03974,437,596.271,232.705,0,0,60,0,0,96,91,0,0,0.397351,0,0,0.611465,0.602649,0,0,0,0,0,0,-nan,0,0,0,0,-0.854744,1,0.389175,inf,-1.16299,0,0,2,0,0,0,0,0,0,0,0,2.62252,2.56954,1.13718,1.16994,0.525217,0.467727,138,0.944099,1.05488,0.872714,120,173.759,186.239,21,7,3,0,1,0.190476,10,26,151,0.238411,0.961783,396,388,"171.714
",6,1,3,0.03,15
2.52229,3.82317,1.49202,0,0,0,0.464138,0.569431,0.324385,0,1.18135,3.1932,1.23921,194.347,273.424,7,14.2467,2.58496,2,2,1,157,0,1.04667,437,600.237,234.247,0,0,60,0,0,96,90,0,0,0.4,0,0,0.611465,0.6,0,0,0,0,0,0,-nan,0,21,7.95455,0.133758,5.97871,4,1.53846,0.190476,1.02837,0,0,2,0,0,0,0,0,0,0,0,2.64,2.6,1.15143,1.16322,0.523605,0.456565,138,0.89255,1.05978,0.844707,120,173.759,187.561,21,7,3,0,2,0.190476,10,26,150,0.24,0.955414,396,390,"172.714
",6,1,3,0.03,13
2.62112,3.887,1.45599,0,0,0,0.467636,0.557484,0.306519,0,1.27627,2.92483,1.23536,207.507,284.316,7,13.3399,2.58496,2,2,1,161,0,1.04545,449,625.807,234.414,0,0,62,0,0,98,92,0,0,0.402597,0,0,0.608696,0.597403,0,0,0,0,0,0,-nan,0,21,7.66351,0.130435,5.42352,4,1.56345,0.190476,1.1095,0,0,2,0,0,0,0,0,0,0,0,2.74026,2.55844,1.12724,1.22863,0.507843,0.445971,142,0.834855,0.994162,0.810031,124,181.321,190.261,21,7,3,0,2,0.190476,11,25,154,0.233766,0.956522,422,394,"173.595
",6,1,3,0.03,10
