number_of_teams,fixtures_left,number_of_constraints,runtime
4,4,2,0.045965
4,4,2,0.04953
4,4,3,0.047588
4,4,3,0.04857
4,4,3,0.047086
4,4,3,0.04857
4,4,3,0.047556
4,4,3,0.050613
4,4,3,0.048632
4,4,3,0.050339
4,4,3,0.046444
4,4,3,0.046184
4,4,1,0.091672
4,4,1,0.096712
4,4,1,0.094768
4,4,1,0.09492
4,4,1,0.094141
4,4,1,0.097885
4,4,1,0.131253
4,4,1,0.096257
4,4,1,0.098152
4,4,1,0.094767
4,4,2,0.093468
4,4,2,0.09659
4,4,2,0.094998
4,4,2,0.119867
4,4,2,0.09347
4,4,2,0.093604
4,4,2,0.094433
4,4,2,0.093646
4,4,2,0.092492
4,4,2,0.095241
4,4,3,0.093665
4,4,3,0.094841
4,4,3,0.097334
4,4,3,0.094435
4,4,3,0.093505
4,4,3,0.096244
4,4,3,0.094749
4,4,3,0.093956
4,4,3,0.09374
4,4,3,0.093584
4,4,1,0.094507
4,4,1,0.095884
4,4,1,0.093724
4,4,1,0.093569
4,4,1,0.092394
4,4,1,0.095954
4,4,1,0.103399
4,4,1,0.09544
4,4,1,0.103588
4,4,1,0.097956
4,4,2,0.093272
4,4,2,0.095051
4,4,2,0.095962
4,4,2,0.094717
4,4,2,0.094296
4,4,2,0.092882
4,4,2,0.096592
4,4,2,0.095036
4,4,2,0.09612
4,4,2,0.096062
4,4,3,0.093777
4,4,3,0.093358
4,4,3,0.097105
4,4,3,0.093692
4,4,3,0.093766
4,4,3,0.0949
4,4,3,0.094945
4,4,3,0.094652
4,4,3,0.0925
4,4,3,0.093558
4,4,1,0.092173
4,4,1,0.095704
4,4,1,0.095764
4,4,1,0.092798
4,4,1,0.093592
4,4,1,0.09652
4,4,1,0.096258
4,4,1,0.095994
4,4,1,0.096949
4,4,1,0.096087
4,4,2,0.092269
4,4,2,0.095467
4,4,2,0.094988
4,4,2,0.093303
4,4,2,0.094309
4,4,2,0.09461
4,4,2,0.093876
4,4,2,0.093854
4,4,2,0.09212
4,4,2,0.094822
4,4,3,0.093984
4,4,3,0.092722
4,4,3,0.094666
4,4,3,0.094749
4,4,3,0.092529
4,4,3,0.096734
4,4,3,0.096272
4,4,3,0.09344
4,4,3,0.092545
4,4,3,0.096924
4,4,1,0.095958
4,4,1,0.096375
4,4,1,0.092908
4,4,1,0.092726
4,4,1,0.092682
4,4,1,0.107601
4,4,1,0.096961
4,4,1,0.094935
4,4,1,0.099992
4,4,1,0.095164
4,4,2,0.092998
4,4,2,0.095709
4,4,2,0.095325
4,4,2,0.096787
4,4,2,0.094394
4,4,2,0.092951
4,4,2,0.095713
4,4,2,0.095881
4,4,2,0.093074
4,4,2,0.095355
4,4,3,0.095165
4,4,3,0.093433
4,4,3,0.095736
4,4,3,0.094925
4,4,3,0.092947
4,4,3,0.095276
4,4,3,0.101171
4,4,3,0.09985
4,4,3,0.099739
4,4,3,0.099068
4,4,1,0.092242
4,4,1,0.096539
4,4,1,0.096254
4,4,1,0.116985
4,4,1,0.094202
4,4,1,0.096032
4,4,1,0.097029
4,4,1,0.097088
4,4,1,0.098557
4,4,1,0.095693
4,4,2,0.093515
4,4,2,0.097242
4,4,2,0.099425
4,4,2,0.097225
4,4,2,0.095288
4,4,2,0.093206
4,4,2,0.098087
4,4,2,0.093903
4,4,2,0.094358
4,4,2,0.095666
4,4,3,0.098042
4,4,3,0.096879
4,4,3,0.097108
4,4,3,0.094638
4,4,3,0.093234
4,4,3,0.097738
4,4,3,0.095309
4,4,3,0.09324
4,4,3,0.094929
4,4,3,0.09386
4,4,1,0.094273
4,4,1,0.097639
4,4,1,0.094129
4,4,1,0.092144
4,4,1,0.092495
4,4,1,0.095934
4,4,1,0.096317
4,4,1,0.095797
4,4,1,0.099354
4,4,1,0.098256
4,4,2,0.092459
4,4,2,0.096653
4,4,2,0.093985
4,4,2,0.093458
4,4,2,0.093279
4,4,2,0.092927
4,4,2,0.098989
4,4,2,0.094277
4,4,2,0.092141
4,4,2,0.09696
4,4,3,0.094294
4,4,3,0.094732
4,4,3,0.095822
4,4,3,0.097049
4,4,3,0.095174
4,4,3,0.095013
4,4,3,0.096036
4,4,3,0.096594
4,4,3,0.093059
4,4,3,0.093944
4,4,1,0.059231
4,4,1,0.05365
4,4,1,0.052145
4,4,1,0.04989
4,4,1,0.052221
4,4,1,0.050866
4,4,1,0.053311
4,4,1,0.051569
4,4,1,0.054086
4,4,1,0.051774
4,4,2,0.049225
4,4,2,0.054211
4,4,2,0.052021
4,4,2,0.050238
4,4,2,0.059725
4,4,2,0.051386
4,4,2,0.056067
4,4,2,0.053092
4,4,2,0.051696
4,4,2,0.05071
4,4,3,0.052511
4,4,3,0.060386
4,4,3,0.051447
4,4,3,0.052503
4,4,3,0.050733
4,4,3,0.051383
4,4,3,0.05185
4,4,3,0.049944
4,4,3,0.050342
4,4,3,0.050453
4,4,1,0.048486
4,4,1,0.051945
4,4,1,0.052196
4,4,1,0.04976
4,4,1,0.050553
4,4,1,0.052747
4,4,1,0.053542
4,4,1,0.050933
4,4,1,0.052853
4,4,1,0.050081
4,4,2,0.049694
4,4,2,0.050312
4,4,2,0.053127
4,4,2,0.051386
4,4,2,0.05213
4,4,2,0.051007
4,4,2,0.063349
4,4,2,0.052016
4,4,2,0.050489
4,4,2,0.052346
4,4,3,0.049379
4,4,3,0.049836
4,4,3,0.050245
4,4,3,0.050414
4,4,3,0.049938
4,4,3,0.0521
4,4,3,0.052737
4,4,3,0.052307
4,4,3,0.048956
4,4,3,0.051341
4,4,1,0.16948
4,4,1,0.051058
4,4,1,0.052248
4,4,1,0.05614
4,4,1,0.052725
4,4,1,0.055549
4,4,1,0.056174
4,4,1,0.053482
4,4,1,0.067565
