number_of_teams,fixtures_left,number_of_constraints,runtime
4,4,1,0.050474
4,4,1,0.050375
4,4,1,0.050321
4,4,1,0.049494
4,4,1,0.052195
4,4,1,0.053836
4,4,1,0.052435
4,4,1,0.052576
4,4,1,0.051053
4,4,2,0.049541
4,4,2,0.051815
4,4,2,0.050309
4,4,2,0.051695
4,4,2,0.050935
4,4,2,0.048964
4,4,2,0.051142
4,4,2,0.0511
4,4,2,0.050664
4,4,2,0.055046
4,4,3,0.053208
4,4,3,0.051481
4,4,3,0.050686
4,4,3,0.050349
4,4,3,0.048729
4,4,3,0.051508
4,4,3,0.050375
4,4,3,0.056138
4,4,3,0.052297
4,4,3,0.052272
4,4,1,0.046993
4,4,1,0.051543
4,4,1,0.051325
4,4,1,0.052167
4,4,1,0.050735
4,4,1,0.051635
4,4,1,0.052318
4,4,1,0.051064
4,4,1,0.05169
4,4,1,0.050489
4,4,2,0.050524
4,4,2,0.051598
4,4,2,0.052402
4,4,2,0.05499
4,4,2,0.06407
4,4,2,0.054639
4,4,2,0.05232
4,4,2,0.051172
4,4,2,0.050908
4,4,2,0.049809
4,4,3,0.050185
4,4,3,0.050613
4,4,3,0.050647
4,4,3,0.052598
4,4,3,0.050687
4,4,3,0.053579
4,4,3,0.050583
4,4,3,0.051471
4,4,3,0.05026
4,4,3,0.050879
4,4,1,0.002242
4,4,1,0.001364
4,4,1,0.001359
4,4,1,0.004712
4,4,1,0.002205
4,4,1,0.008384
4,4,1,0.002292
4,4,1,0.002089
4,4,1,0.003259
4,4,1,0.003742
4,4,2,0.010538
4,4,2,0.00619
4,4,2,0.002653
4,4,2,0.011191
4,4,2,0.002863
4,4,2,0.009567
4,4,2,0.00446
4,4,2,0.002692
4,4,2,0.005553
4,4,2,0.003243
4,4,3,0.003226
4,4,3,0.008372
4,4,3,0.004397
4,4,3,0.003764
4,4,3,0.003931
4,4,3,0.010277
4,4,3,0.004217
4,4,3,0.003688
4,4,3,0.00561
4,4,3,0.005209
4,4,1,0.047412
4,4,1,0.050959
4,4,1,0.050025
4,4,1,0.051322
4,4,1,0.051799
4,4,1,0.052287
4,4,1,0.051271
4,4,1,0.051979
4,4,1,0.052883
4,4,1,0.050989
4,4,2,0.050576
4,4,2,0.053053
4,4,2,0.05316
4,4,2,0.051556
4,4,2,0.050312
4,4,2,0.051325
4,4,2,0.050596
4,4,2,0.051031
4,4,2,0.050717
4,4,2,0.050922
4,4,3,0.050989
4,4,3,0.052141
4,4,3,0.051571
4,4,3,0.05162
4,4,3,0.049806
4,4,3,0.05187
4,4,3,0.05223
4,4,3,0.051532
4,4,3,0.051447
4,4,3,0.052259
12,4,1,0.06
12,4,1,0.16
12,4,1,0.06
12,4,1,0.17
12,4,1,0.06
12,4,1,0.06
12,4,1,0.06
12,4,1,0.06
12,4,1,0.06
12,4,1,0.06
12,4,2,0.08
12,4,2,5.01
12,4,2,0.06
12,4,2,0.80
12,4,2,0.06
12,4,2,0.06
12,4,2,0.07
12,4,2,0.06
12,4,2,0.08
12,4,2,0.06
12,4,3,3.56
12,4,3,0.50
12,4,3,0.08
12,4,3,1.52
12,4,3,5.01
12,4,3,0.08
12,4,3,5.01
12,4,3,0.08
12,4,3,0.26
12,4,3,2.29
12,4,1,0.06
12,4,1,0.16
12,4,1,0.06
12,4,1,0.17
12,4,1,0.07
12,4,1,0.06
12,4,1,0.06
12,4,1,0.06
12,4,1,0.06
12,4,1,0.06
12,4,2,0.08
12,4,2,5.01
12,4,2,0.07
12,4,2,0.82
12,4,2,0.06
12,4,2,0.07
12,4,2,0.08
12,4,2,0.06
12,4,2,0.08
12,4,2,0.06
12,4,3,3.62
12,4,3,0.55
12,4,3,0.09
12,4,3,1.70
12,4,3,5.01
12,4,3,0.09
12,4,3,5.01
12,4,3,0.13
12,4,3,0.34
12,4,3,2.33
