c_avg_deg_cons,c_avg_dom_cons,c_avg_domdeg_cons,c_bounds_d,c_bounds_r,c_bounds_z,c_cv_deg_cons,c_cv_dom_cons,c_cv_domdeg_cons,c_domain,c_ent_deg_cons,c_ent_dom_cons,c_ent_domdeg_cons,c_logprod_deg_cons,c_logprod_dom_cons,c_max_deg_cons,c_max_dom_cons,c_max_domdeg_cons,c_min_deg_cons,c_min_dom_cons,c_min_domdeg_cons,c_num_cons,c_priority,c_ratio_cons,c_sum_ari_cons,c_sum_dom_cons,c_sum_domdeg_cons,d_array_cons,d_bool_cons,d_bool_vars,d_float_cons,d_float_vars,d_int_cons,d_int_vars,d_ratio_array_cons,d_ratio_bool_cons,d_ratio_bool_vars,d_ratio_float_cons,d_ratio_float_vars,d_ratio_int_cons,d_ratio_int_vars,d_ratio_set_cons,d_ratio_set_vars,d_set_cons,d_set_vars,gc_diff_globs,gc_global_cons,gc_ratio_diff,gc_ratio_globs,o_deg,o_deg_avg,o_deg_cons,o_deg_std,o_dom,o_dom_avg,o_dom_deg,o_dom_std,s_bool_search,s_first_fail,s_goal,s_indomain_max,s_indomain_min,s_input_order,s_int_search,s_labeled_vars,s_other_val,s_other_var,s_set_search,v_avg_deg_vars,v_avg_dom_vars,v_avg_domdeg_vars,v_cv_deg_vars,v_cv_dom_vars,v_cv_domdeg_vars,v_def_vars,v_ent_deg_vars,v_ent_dom_vars,v_ent_domdeg_vars,v_intro_vars,v_logprod_deg_vars,v_logprod_dom_vars,v_max_deg_vars,v_max_dom_vars,v_max_domdeg_vars,v_min_deg_vars,v_min_dom_vars,v_min_domdeg_vars,v_num_aliases,v_num_consts,v_num_vars,v_ratio_bounded,v_ratio_vars,v_sum_deg_vars,v_sum_dom_vars,"v_sum_domdeg_vars

",number_of_teams,fixtures_left,number_of_constraints,runtime,min_num_losses
2.59172,3.84537,1.45449,0,0,0,0.464408,0.57305,0.319546,0,1.24355,2.9403,1.27834,215.507,295.242,7,15.2467,2.58496,2,2,1,169,0,1.03681,469,649.868,245.809,0,0,66,0,0,102,97,0,0,0.404908,0,0,0.60355,0.595092,0,0,0,0,0,0,-nan,0,0,0,0,-0.814743,1,0.391827,inf,-1.18361,0,0,3,0,0,0,0,0,0,0,0,2.68712,2.55215,1.14271,1.22738,0.513827,0.457582,150,1.03827,1.04812,0.955372,132,186.981,200.168,21,7,3,0,1,0.190476,11,25,163,0.220859,0.964497,438,416,"186.262
",6,1,2,0.03,0
2.50314,3.75407,1.47567,0,0,0,0.450008,0.557379,0.326672,0,1.17503,3.13336,1.25418,195.862,273.451,7,12.6618,2.58496,2,2,1,159,0,1.04605,441,596.897,234.631,0,0,62,0,0,96,90,0,0,0.407895,0,0,0.603774,0.592105,0,0,0,0,0,0,-nan,0,1,0.38191,0.00628931,-0.528784,3,1.17224,3,0.33229,0,0,3,0,0,0,0,0,0,0,0,2.61842,2.55921,1.15273,1.16889,0.518331,0.458576,141,0.927342,1.00501,0.859641,124,173.419,187.391,21,7,3,0,2,0.190476,9,27,152,0.236842,0.955975,398,389,"175.214
",6,1,2,0.03,2
2.59172,3.84537,1.45449,0,0,0,0.464408,0.57305,0.319546,0,1.24355,2.9403,1.27834,215.507,295.242,7,15.2467,2.58496,2,2,1,169,0,1.04321,469,649.868,245.809,0,0,66,0,0,102,96,0,0,0.407407,0,0,0.60355,0.592593,0,0,0,0,0,0,-nan,0,1,0.369863,0.00591716,-0.51604,2,0.780723,2,-0.428897,0,0,3,0,0,0,0,0,0,0,0,2.7037,2.56173,1.14976,1.2211,0.511258,0.449402,150,0.990439,1.00035,0.907029,132,186.981,200.168,21,7,3,0,2,0.190476,11,25,162,0.222222,0.95858,438,415,"186.262
",6,1,2,0.03,1
2.50932,3.80377,1.49067,0,0,0,0.461844,0.578278,0.331638,0,1.16269,3.14831,1.28832,198.347,278.882,7,15.2467,2.58496,2,2,1,161,0,1.03871,447,612.407,239.998,0,0,62,0,0,98,93,0,0,0.4,0,0,0.608696,0.6,0,0,0,0,0,0,-nan,0,0,0,0,-0.857821,1,0.385572,inf,-1.15826,0,0,3,0,0,0,0,0,0,0,0,2.60645,2.59355,1.15622,1.16574,0.530475,0.467236,142,1.01464,1.08382,0.945138,124,176.589,192.561,21,7,3,0,1,0.190476,10,26,155,0.232258,0.962733,404,402,"179.214
",6,1,2,0.03,0
2.50932,3.77914,1.48109,0,0,0,0.461844,0.570371,0.324751,0,1.16269,3.11409,1.27125,198.347,277.846,7,13.9248,2.58496,2,2,1,161,0,1.04545,447,608.441,238.456,0,0,62,0,0,98,92,0,0,0.402597,0,0,0.608696,0.597403,0,0,0,0,0,0,-nan,0,1,0.381188,0.00621118,-0.533827,3,1.1608,3,0.305275,0,0,3,0,0,0,0,0,0,0,0,2.62338,2.58442,1.15724,1.1592,0.526752,0.461257,142,0.964648,0.979709,0.873579,124,176.589,191.239,21,7,3,0,2,0.190476,10,26,154,0.233766,0.956522,404,398,"178.214
",6,1,2,0.03,2
2.50932,3.80377,1.49067,0,0,0,0.461844,0.578278,0.331638,0,1.16269,3.14831,1.28832,198.347,278.882,7,15.2467,2.58496,2,2,1,161,0,1.04545,447,612.407,239.998,0,0,62,0,0,98,92,0,0,0.402597,0,0,0.608696,0.597403,0,0,0,0,0,0,-nan,0,1,0.381188,0.00621118,-0.533827,3,1.15212,3,0.288233,0,0,3,0,0,0,0,0,0,0,0,2.62338,2.6039,1.16373,1.1592,0.527766,0.458748,142,0.964648,1.03427,0.894689,124,176.589,192.561,21,7,3,0,2,0.190476,10,26,154,0.233766,0.956522,404,401,"179.214
",6,1,2,0.03,2
2.50318,3.71115,1.46144,0,0,0,0.450044,0.544107,0.323992,0,1.21503,3.11345,1.25331,193.499,268.174,7,10.3399,2.58496,2,2,1,157,0,1.03289,435,582.651,229.446,0,0,62,0,0,94,90,0,0,0.407895,0,0,0.598726,0.592105,0,0,0,0,0,0,-nan,0,0,0,0,-0.842102,1,0.4,inf,-1.17909,0,0,3,0,0,0,0,0,0,0,0,2.58553,2.5,1.13847,1.1875,0.508869,0.461228,141,0.964247,1.01879,0.892311,124,170.249,183.221,21,7,3,0,1,0.190476,8,28,152,0.236842,0.968153,393,380,"173.048
",6,1,2,0.03,0
2.50943,3.76201,1.4769,0,0,0,0.45768,0.560317,0.329566,0,1.18067,3.13107,1.28926,196.084,273.714,7,12.9248,2.58496,2,2,1,159,0,1.03922,441,598.16,234.828,0,0,62,0,0,96,91,0,0,0.405229,0,0,0.603774,0.594771,0,0,0,0,0,0,-nan,0,1,0.383459,0.00628931,-0.526572,2,0.782609,2,-0.419939,0,0,3,0,0,0,0,0,0,0,0,2.60784,2.55556,1.15717,1.17086,0.517674,0.453015,142,0.954521,1.00035,0.877612,124,173.419,188.391,21,7,3,0,2,0.190476,9,27,153,0.235294,0.962264,399,391,"177.048
",6,1,2,0.02,1
2.50314,3.72913,1.46555,0,0,0,0.452233,0.553261,0.318809,0,1.18479,3.09625,1.23378,195.821,272.331,7,11.3399,2.58496,2,2,1,159,0,1.04605,441,592.931,233.022,0,0,62,0,0,96,90,0,0,0.407895,0,0,0.603774,0.592105,0,0,0,0,0,0,-nan,0,1,0.38191,0.00628931,-0.528784,3,1.18135,3,0.350931,0,0,3,0,0,0,0,0,0,0,0,2.61842,2.53947,1.14615,1.16889,0.51676,0.461022,141,0.927342,0.949728,0.83673,124,173.419,186.069,21,7,3,0,2,0.190476,9,27,152,0.236842,0.955975,398,386,"174.214
",6,1,2,0.03,1
2.50932,3.80377,1.49067,0,0,0,0.461844,0.578278,0.331638,0,1.16269,3.14831,1.28832,198.347,278.882,7,15.2467,2.58496,2,2,1,161,0,1.03871,447,612.407,239.998,0,0,62,0,0,98,93,0,0,0.4,0,0,0.608696,0.6,0,0,0,0,0,0,-nan,0,0,0,0,-0.857821,1,0.385572,inf,-1.15826,0,0,3,0,0,0,0,0,0,0,0,2.60645,2.59355,1.15622,1.16574,0.530475,0.467236,142,1.01464,1.08382,0.945138,124,176.589,192.561,21,7,3,0,1,0.190476,10,26,155,0.232258,0.962733,404,402,"179.214
",6,1,2,0.03,0
