c_avg_deg_cons,c_avg_dom_cons,c_avg_domdeg_cons,c_bounds_d,c_bounds_r,c_bounds_z,c_cv_deg_cons,c_cv_dom_cons,c_cv_domdeg_cons,c_domain,c_ent_deg_cons,c_ent_dom_cons,c_ent_domdeg_cons,c_logprod_deg_cons,c_logprod_dom_cons,c_max_deg_cons,c_max_dom_cons,c_max_domdeg_cons,c_min_deg_cons,c_min_dom_cons,c_min_domdeg_cons,c_num_cons,c_priority,c_ratio_cons,c_sum_ari_cons,c_sum_dom_cons,c_sum_domdeg_cons,d_array_cons,d_bool_cons,d_bool_vars,d_float_cons,d_float_vars,d_int_cons,d_int_vars,d_ratio_array_cons,d_ratio_bool_cons,d_ratio_bool_vars,d_ratio_float_cons,d_ratio_float_vars,d_ratio_int_cons,d_ratio_int_vars,d_ratio_set_cons,d_ratio_set_vars,d_set_cons,d_set_vars,gc_diff_globs,gc_global_cons,gc_ratio_diff,gc_ratio_globs,o_deg,o_deg_avg,o_deg_cons,o_deg_std,o_dom,o_dom_avg,o_dom_deg,o_dom_std,s_bool_search,s_first_fail,s_goal,s_indomain_max,s_indomain_min,s_input_order,s_int_search,s_labeled_vars,s_other_val,s_other_var,s_set_search,v_avg_deg_vars,v_avg_dom_vars,v_avg_domdeg_vars,v_cv_deg_vars,v_cv_dom_vars,v_cv_domdeg_vars,v_def_vars,v_ent_deg_vars,v_ent_dom_vars,v_ent_domdeg_vars,v_intro_vars,v_logprod_deg_vars,v_logprod_dom_vars,v_max_deg_vars,v_max_dom_vars,v_max_domdeg_vars,v_min_deg_vars,v_min_dom_vars,v_min_domdeg_vars,v_num_aliases,v_num_consts,v_num_vars,v_ratio_bounded,v_ratio_vars,v_sum_deg_vars,v_sum_dom_vars,"v_sum_domdeg_vars

",number_of_teams,fixtures_left,number_of_constraints,runtime,fpoints
2.72289,5.09934,1.78607,0,0,0,0.570985,0.730733,0.512423,0,1.35984,3.21068,1.38724,544.206,818.908,9,19,3.36776,2,2,1,415,0,1.02217,1139,2116.22,741.218,0,0,160,0,0,254,246,0,0,0.394089,0,0,0.612048,0.605911,0,0,0,0,0,0,-nan,0,29,10.4195,0.0698795,6.93814,19,6.63855,0.655172,5.84563,0,0,2,0,0,0,0,0,0,0,0,2.78325,2.86207,1.19353,1.35764,0.964576,0.82438,351,1.00362,1.13334,0.517208,320,485.053,516.272,29,25,9,0,2,0.551724,15,48,406,0.155172,0.978313,1130,1162,"484.575
",8,6,2,1.69,8
2.72422,5.12651,1.7959,0,0,0,0.57783,0.737635,0.511705,0,1.35196,3.08039,1.38325,546.464,825.446,9,23.8074,3.42924,2,2,1,417,0,1.02206,1145,2137.75,748.888,0,0,160,0,0,256,248,0,0,0.392157,0,0,0.613909,0.607843,0,0,0,0,0,0,-nan,0,29,10.4155,0.0695444,6.95487,25,8.62215,0.862069,7.8879,0,0,2,0,0,0,0,0,0,0,0,2.78431,2.89951,1.20484,1.3538,0.966308,0.824275,352,1.02204,1.16779,0.556914,320,488.223,523.964,29,25,9,0,2,0.551724,16,47,408,0.154412,0.978417,1136,1183,"491.575
",8,6,2,2.06,6
2.72289,5.10608,1.78904,0,0,0,0.573257,0.733247,0.512645,0,1.36827,3.42374,1.38172,544.066,819.532,9,20.8074,3.36776,2,2,1,415,0,1.02217,1139,2119.02,742.453,0,0,160,0,0,254,246,0,0,0.394089,0,0,0.612048,0.605911,0,0,0,0,0,0,-nan,0,29,10.4195,0.0698795,6.93814,22,7.65381,0.758621,6.86566,0,0,2,0,0,0,0,0,0,0,0,2.78325,2.87438,1.19764,1.35764,0.969144,0.826823,351,1.00362,1.15821,0.5751,320,485.053,517.921,29,25,9,0,2,0.448276,15,53,406,0.167488,0.978313,1130,1167,"486.241
",8,6,2,0.14,3
2.72289,5.08845,1.78264,0,0,0,0.575521,0.732843,0.511452,0,1.36796,3.38328,1.38724,543.961,817.913,9,19,3.42924,2,2,1,415,0,1.02217,1139,2111.71,739.795,0,0,160,0,0,254,246,0,0,0.394089,0,0,0.612048,0.605911,0,0,0,0,0,0,-nan,0,29,10.4195,0.0698795,6.93814,25,8.73494,0.862069,7.91731,0,0,2,0,0,0,0,0,0,0,0,2.78325,2.86207,1.19353,1.35764,0.976965,0.832816,351,1.00362,1.14691,0.548622,320,485.053,515.998,29,25,9,0,2,0.448276,15,53,406,0.167488,0.978313,1130,1162,"484.575
",8,6,2,1.01,10
2.72289,5.09174,1.78454,0,0,0,0.580021,0.73634,0.511323,0,1.38973,3.55587,1.38172,543.739,818.229,10,20.8074,3.48374,2,2,1,415,0,1.02217,1139,2113.07,740.584,0,0,160,0,0,254,246,0,0,0.394089,0,0,0.612048,0.605911,0,0,0,0,0,0,-nan,0,29,10.4195,0.0698795,6.93814,22,7.65381,0.758621,6.73853,0,0,2,0,0,0,0,0,0,0,0,2.78325,2.87438,1.19764,1.35764,0.987428,0.839323,351,1.00362,1.17962,0.59971,320,485.053,517.558,29,28,10,0,2,0.448276,15,63,406,0.192118,0.978313,1130,1167,"486.241
",8,6,2,0.06,12
2.72289,5.10195,1.78689,0,0,0,0.569846,0.730215,0.512664,0,1.35654,2.98064,1.38724,544.266,819.145,9,19,3.29726,2,2,1,415,0,1.02217,1139,2117.31,741.559,0,0,160,0,0,254,246,0,0,0.394089,0,0,0.612048,0.605911,0,0,0,0,0,0,-nan,0,29,10.4195,0.0698795,6.93814,16,5.59036,0.551724,4.7744,0,0,2,0,0,0,0,0,0,0,0,2.78325,2.86207,1.19353,1.35764,0.961454,0.822257,351,1.00362,1.1276,0.507109,320,485.053,516.338,29,25,9,0,2,0.551724,15,48,406,0.155172,0.978313,1130,1162,"484.575
",8,6,2,0.94,15
2.72422,5.11737,1.79293,0,0,0,0.578947,0.738525,0.511246,0,1.34731,3.17866,1.38325,546.275,824.557,9,23.8074,3.30629,2,2,1,417,0,1.02206,1145,2133.94,747.653,0,0,160,0,0,256,248,0,0,0.392157,0,0,0.613909,0.607843,0,0,0,0,0,0,-nan,0,29,10.4155,0.0695444,6.95487,19,6.55283,0.655172,5.72858,0,0,2,0,0,0,0,0,0,0,0,2.78431,2.89951,1.20484,1.3538,0.969321,0.826343,352,1.02204,1.13754,0.575213,320,488.223,523.741,29,22,8,0,2,0.344828,16,42,408,0.142157,0.978417,1136,1183,"491.575
",8,6,2,2.03,8
2.72289,5.09165,1.78453,0,0,0,0.58114,0.73676,0.51124,0,1.38969,3.38328,1.38172,543.733,818.231,11,20.8074,3.47121,2,2,1,415,0,1.02217,1139,2113.04,740.579,0,0,160,0,0,254,246,0,0,0.394089,0,0,0.612048,0.605911,0,0,0,0,0,0,-nan,0,29,10.4195,0.0698795,6.93814,16,5.56641,0.551724,4.61047,0,0,2,0,0,0,0,0,0,0,0,2.78325,2.87438,1.19764,1.35764,0.990443,0.841388,351,1.00362,1.16298,0.592924,342,485.053,517.554,29,31,11,0,2,0.448276,37,55,406,0.226601,0.978313,1130,1167,"486.241
",8,6,2,0.55,18
2.72289,5.09781,1.78644,0,0,0,0.576649,0.734843,0.511931,0,1.36954,3.43057,1.38172,543.879,818.774,9,20.8074,3.42924,2,2,1,415,0,1.02217,1139,2115.59,741.371,0,0,160,0,0,254,246,0,0,0.394089,0,0,0.612048,0.605911,0,0,0,0,0,0,-nan,0,29,10.4195,0.0698795,6.93814,25,8.69751,0.862069,7.86802,0,0,2,0,0,0,0,0,0,0,0,2.78325,2.87438,1.19764,1.35764,0.978329,0.833096,351,1.00362,1.1679,0.594784,320,485.053,517.713,29,25,9,0,2,0.448276,15,53,406,0.167488,0.978313,1130,1167,"486.241
",8,6,2,5.01,21
2.72289,5.10237,1.78786,0,0,0,0.57439,0.733826,0.512367,0,1.35371,3.25114,1.38172,543.984,819.187,9,20.8074,3.36776,2,2,1,415,0,1.02217,1139,2117.48,741.964,0,0,160,0,0,254,246,0,0,0.394089,0,0,0.612048,0.605911,0,0,0,0,0,0,-nan,0,29,10.4195,0.0698795,6.93814,13,4.52271,0.448276,3.62338,0,0,2,0,0,0,0,0,0,0,0,2.78325,2.87438,1.19764,1.35764,0.972215,0.828919,351,1.00362,1.14343,0.587998,320,485.053,517.829,29,25,9,0,2,0.448276,15,47,406,0.152709,0.978313,1130,1167,"486.241
",8,6,2,0.05,10
